,game_id,game_title,category,avg_time,min_ppl,max_ppl,age_min
431,492,Aladdin's Dragons,"['Arabian', 'Bluffing', 'Fantasy', 'Medieval']",75.0,3,5,10
432,495,Time Pirates,['Pirates'],60,3,6,10
434,497,Vampire,['Card Game'],30,3,5,10
436,499,Arbos,"['Action / Dexterity', ""Children's Game"", 'Party Game']",30,1,8,6
440,503,Through the Desert,"['Abstract Strategy', 'Animals', 'Arabian']",45,2,5,10
443,506,The Big Cheese,"['Animals', 'Card Game', 'Print & Play']",30,3,6,10
445,508,Blue Max,"['Aviation / Flight', 'Wargame', 'World War I']",60,2,6,13
446,509,The Reef,['Card Game'],60,2,2,10
448,511,Silverton,"['American West', 'Economic', 'Trains', 'Transportation']",180,1,6,12
451,514,True Colors,"['Deduction', 'Humor', 'Party Game']",30,3,6,18
456,520,Axis & Allies: Europe,"['Wargame', 'World War II']",210,2,4,12
457,521,Crokinole,['Action / Dexterity'],30,2,4,8
458,524,Desperados,"['American West', 'Card Game']",30,2,4,8
460,526,Abalone Classic,['Abstract Strategy'],30,2,2,7
461,527,GIPF,['Abstract Strategy'],45.0,2,2,9
462,528,ZÈRTZ,['Abstract Strategy'],45.0,2,2,9
465,531,Merchants of Amsterdam,"['Economic', 'Real-time', 'Renaissance']",60,3,5,10
466,533,Labyrinth: The Card Game,"['Card Game', 'Fantasy', 'Maze']",30,2,6,7
467,534,N.Y. Chase,"['Deduction', 'Transportation']",45,3,6,10
468,535,Power Barons,['Card Game'],30,3,4,10
472,539,Dampfross,"['Racing', 'Trains']",90,2,6,10
474,541,Das Motorsportspiel,"['Racing', 'Real-time', 'Sports']",120,2,12,10
475,542,Animocrazy 豬事議會,"['Card Game', 'Party Game']",45,4,10,12
476,545,Kaleidos,['Party Game'],60,2,12,10
478,548,Buck Rogers: Battle for the 25th Century Game,"['Comic Book / Strip', 'Movies / TV / Radio theme', 'Science Fiction', 'Wargame']",120,2,6,10
480,550,Barbarossa,"['Deduction', 'Fantasy', 'Humor', 'Party Game', 'Word Game']",60,3,4,12
481,551,Battle Cry,"['American Civil War', 'Wargame']",45,2,2,10
482,552,Bus,['Transportation'],120,3,5,14
483,553,Chez Geek,['Card Game'],60,2,5,13
